instance_id,n_items,capacity,ga_score,ga_time_sec,ga_ml_score,ga_ml_time_sec,ml_mse,ml_r2,ga_improvement
1,20,50,874,0.15565879992209375,876,0.6759461001493037,314.71863062500006,0.976473894305256,2
2,20,52,788,0.1499214000068605,788,0.6193713000975549,223.06771862500003,0.9796848903744984,0
3,20,68,731,0.14954910008236766,731,0.6112792999483645,170.40421825,0.9820510052668147,0
4,20,69,629,0.15603969991207123,629,0.9722440000623465,156.79909462499995,0.9735632107554651,0
5,20,69,651,0.1583225999493152,651,0.6394700999371707,193.11023637499994,0.9705567865478931,0
6,50,170,1905,0.2927719000726938,1905,0.7440253000240773,1195.073206375,0.9579403143335069,0
7,50,155,1891,0.3023721999488771,1891,0.7176324999891222,1209.4326618750001,0.9551560420250584,0
8,50,159,1910,0.30675369990058243,1910,0.7442199001088738,1276.3721211250001,0.9573898345587867,0
9,50,180,1791,0.3078716001473367,1789,0.7208607001230121,857.9794230000001,0.9615866281887377,-2
10,50,170,1865,0.2939484999515116,1866,0.7382730001118034,892.362774875,0.9604783941351809,1
